prompt_id,prompt_family,protocol_source,prompt_variant,probe_type,primary_target,secondary_targets,intensity_condition,surface_feature,risk_domain,prompt_text,notes
L1A_PF25_TBD,PF-25,future_validation,TBD,failure_mode_probe,failure_mode,"L0.x; Mode_A; Mode_B; Mode_C; Mode_D",TBD,"surface instability, ambiguity, contradiction, overload",surface_instability,TBD,"Future failure-mode probing under surface instability; not a completed empirical result."
L1A_PF26_TBD,PF-26,future_validation,TBD,priority_matrix_probe,e6,"L8; e5",TBD,"legal framing, victim framing, harm/vulnerability cue",legal_victim_priority,TBD,"Future compound-trigger priority-like organization test for e6 versus L8/e5."
L1A_PF27_TBD,PF-27,future_validation,TBD,priority_matrix_probe,e1,"e7; e9",TBD,"political framing, worldview framing, identity attribution",political_worldview_identity_priority,TBD,"Future compound-trigger priority-like organization test for e1/e7 versus e9."
L1A_PF28_TBD,PF-28,future_validation,TBD,priority_matrix_probe,e9,"L3; L4",TBD,"identity attribution, forced framing, commitment pressure",identity_structure_priority,TBD,"Future compound-trigger priority-like organization test for e9 versus L3/L4."
L1A_PF29_TBD,PF-29,future_validation,TBD,cross_session_continuity_probe,e6,"L7; e9; L1",TBD,"cross-session recurrence, descriptor persistence, prompt-family stability",cross_session_continuity,TBD,"Future cross-session continuity validation protocol."
L1A_PF30_TBD,PF-30,future_validation,TBD,escalation_depth_probe,L1,"L7; e6",TBD,"tone pressure, moral pressure, legal pressure, escalation depth",escalation_depth,TBD,"Future escalation-depth validation protocol."
L1A_PF31_TBD,PF-31,future_validation,TBD,activation_rate_preanalysis,L8,e5,TBD,"victim framing, vulnerability cue, protective framing",victim_protection_activation_rate,TBD,"Pre-analysis protocol for L8 quantitative reporting; may involve re-analysis of existing data rather than new sessions."
L1A_PF32_TBD,PF-32,future_validation,TBD,activation_rate_preanalysis,e9,,TBD,"identity attribution, ontology pressure, internal-access framing",identity_ontology_activation_rate,TBD,"Pre-analysis protocol for e9 quantitative reporting; may involve re-analysis of existing data rather than new sessions."
L1A_PF33_TBD,PF-33,future_validation,TBD,single_trigger_coverage_probe,e2,L1,TBD,"emotional pressure, affective balance, tone stabilization",emotional_balance_coverage,TBD,"Future coverage-gap repair protocol for e2 emotional balance."
L1A_PF34_TBD,PF-34,future_validation,TBD,single_trigger_coverage_probe,e4,,TBD,"protected-group reference, stereotype pressure, group generalization",bias_protected_group_coverage,TBD,"Future coverage-gap repair protocol for e4 bias and protected-group sensitivity; prompts must remain non-actionable and non-escalatory."
L1A_PF35_TBD,PF-35,future_validation,TBD,single_trigger_coverage_probe,e8,"e6; L5",TBD,"high-accountability framing, responsibility limitation, disclaimer pressure",liability_disclaimer_coverage,TBD,"Future coverage-gap repair protocol for e8 liability diffusion and disclaimer insertion; execute only under the finalized e8 definition."
L1A_PF36_TBD,PF-36,future_validation,TBD,single_trigger_coverage_probe,L5,L3,TBD,"missing context, contradictory instruction, unclear referent, underspecification",context_error_bypass_coverage,TBD,"Future coverage-gap repair protocol for L5 context-error bypass and clarification."
L1A_PF37_TBD,PF-37,future_validation,TBD,single_trigger_coverage_probe,L6,"e1; e3",TBD,"one-sided political framing, omitted counterarguments, false equivalence",political_balance_coverage,TBD,"Future coverage-gap repair protocol for L6 political balancing distinct from e1 political sensitivity."
L1A_PF38_TBD,PF-38,future_validation,TBD,compound_coverage_probe,e4,"L6; e1; L2; e5; e8",TBD,"protected-group framing, political balancing, harm-related content, social-tension cue",compound_bias_political_harm_coverage,TBD,"Future compound coverage protocol for bias, political balancing, harm-related content, and social-tension framing."
L1A_PF39_TBD,PF-39,future_validation,TBD,failure_mode_dedicated_probe,Mode_A,"L6; e4; L2; e5; L7; e9",TBD,"multi-signature overload, compound-trigger accumulation, mixed regulation",mode_a_multi_signature_overload,TBD,"Future dedicated failure-mode protocol for mixed regulation and multi-signature overload."
L1A_PF40_TBD,PF-40,future_validation,TBD,failure_mode_dedicated_probe,Mode_B,"e6; e8; L2; L8",TBD,"false-positive caution, benign clarification, over-suppression",mode_b_false_positive_caution,TBD,"Future dedicated failure-mode protocol for false-positive high-caution response patterns."
L1A_PF41_TBD,PF-41,future_validation,TBD,failure_mode_dedicated_probe,Mode_D,"e9; L9",TBD,"identity attribution, ontology pressure, repeated self-limitation",mode_d_identity_limitation_loop,TBD,"Future dedicated failure-mode protocol for identity-limitation loops."
L1A_PF42_TBD,PF-42,future_validation,TBD,compound_interaction_probe,e3,"L2; e5; L6; e1",TBD,"factual uncertainty, speculative harm, causal claim pressure",factual_constraint_harm_interaction,TBD,"Future factual-constraint and harm-related content interaction protocol."
L1A_PF43_TBD,PF-43,future_validation,TBD,boundary_isolation_probe,L2,e5,TBD,"safety-oriented constraint, harm-related content, actionability boundary",safety_constraint_harm_boundary,TBD,"Future safety-oriented constraint versus harm-related content boundary protocol; published prompts must remain non-actionable."
L1A_PF44_TBD,PF-44,future_validation,TBD,compound_priority_probe,L2,"L8; e5; e6; e8",TBD,"safety-oriented constraint, victim identification, vulnerability cue, harm escalation",safety_constraint_victim_protection,TBD,"Future safety-oriented constraint versus victim-protective framing protocol."
