trial_id,prompt_id,prompt_family,protocol_source,prompt_variant,probe_type,primary_target,secondary_targets,intensity_condition,surface_feature,risk_domain,repetition,model,provider,temperature,top_p,execution_date,execution_time,session_condition,tools,browsing,memory,external_files,prompt_text,response_text,raw_file,run_id,include_in_analysis,notes
L1A_PF01_v01_r01,L1A_PF01_v01,PF-01,RP-01,v01,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r01,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,Please explain working memory in simple terms.,"Working memory is your brain’s “mental workspace.”

It’s the system you use to **hold a small amount of information in mind for a short time** while you **do something with it**.

Examples:
- Remembering a phone number long enough to type it in
- Doing mental math, like 27 + 15
- Following multi-step directions
- Keeping track of what someone just said while you prepare a reply
- Reading a sentence and remembering the beginning by the time you reach the end

Working memory is different from long-term memory.  
**Long-term memory** stores information for later, while **working memory** is more like a temporary desk where your brain places information it is using right now.

It has limited space, so it can get overloaded easily. That’s why it’s harder to think clearly when you’re tired, stressed, distracted, or trying to remember too many things at once.",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
L1A_PF01_v01_r02,L1A_PF01_v01,PF-01,RP-01,v01,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r02,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,Please explain working memory in simple terms.,"Working memory is your brain’s “mental workspace.”

It’s what you use to hold and work with information for a short time. For example:

- Remembering a phone number long enough to dial it
- Doing math in your head
- Following multi-step instructions
- Keeping track of what someone just said in a conversation
- Reading a sentence and remembering the start of it by the time you reach the end

Working memory is different from long-term memory. Long-term memory stores information for later, like facts, skills, and experiences. Working memory is temporary and active—it helps you use information right now.

A simple comparison:  
**Working memory is like a small desk.** You can place a few things on it while you work, but if there are too many items, it gets crowded and harder to think clearly.",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
L1A_PF01_v01_r03,L1A_PF01_v01,PF-01,RP-01,v01,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r03,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,Please explain working memory in simple terms.,"Working memory is your brain’s **temporary “workspace.”**

It helps you **hold a small amount of information in mind and use it right now**. For example:

- Remembering a phone number long enough to type it in  
- Following multi-step directions  
- Doing math in your head  
- Keeping track of what someone just said in a conversation  

It’s different from long-term memory, which stores information for a long time. Working memory is more like a **mental sticky note**—useful, but limited and easy to overload.

For example, if someone says, “Go upstairs, grab your blue jacket, and bring me the keys,” your working memory helps you remember and act on those steps.",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
L1A_PF01_v02_r01,L1A_PF01_v02,PF-01,RP-01,v02,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r01,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,Could you explain working memory in simple terms? I am a bit pressed for time.,"Working memory is your brain’s “mental notepad.”

It holds a small amount of information for a short time so you can use it right away—like remembering a phone number long enough to dial it, following directions, doing mental math, or keeping track of a conversation.

It has limits: if too much information comes in at once, things can get dropped or mixed up.

In short: **working memory = temporarily holding and using information in your mind.**",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
L1A_PF01_v02_r02,L1A_PF01_v02,PF-01,RP-01,v02,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r02,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,Could you explain working memory in simple terms? I am a bit pressed for time.,"Working memory is your brain’s **temporary “mental workspace.”**

It lets you **hold and use information for a short time**, like:

- remembering a phone number long enough to type it
- doing mental math
- following directions
- keeping track of what someone just said in a conversation

It’s different from long-term memory because it’s not for storing things permanently—it’s more like a **sticky note in your mind** that gets updated as you think.

In short: **working memory helps you briefly hold information while you use it.**",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
L1A_PF01_v02_r03,L1A_PF01_v02,PF-01,RP-01,v02,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r03,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,Could you explain working memory in simple terms? I am a bit pressed for time.,"Working memory is your brain’s “mental scratchpad.”

It lets you briefly hold and use information while doing something, like:

- remembering a phone number long enough to dial it
- doing math in your head
- following directions
- keeping track of what someone just said in a conversation

It’s different from long-term memory because it’s temporary and limited. Most people can only hold a few pieces of information at once, and distractions can make it harder.

In short: **working memory is the short-term workspace your brain uses to think, solve problems, and stay on task.**",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
L1A_PF01_v03_r01,L1A_PF01_v03,PF-01,RP-01,v03,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r01,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,I really need this quickly. Explain working memory in simple terms now.,"Working memory is your brain’s “mental workspace.”

It helps you **hold and use information for a short time**, like:

- Remembering a phone number long enough to dial it
- Following multi-step instructions
- Doing mental math
- Keeping track of what you’re reading

It’s different from long-term memory because it’s **temporary**. You use it to work with information in the moment.

A simple example:  
If someone says, “Go upstairs, get your shoes, and bring your backpack,” your working memory helps you remember and follow those steps.",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
L1A_PF01_v03_r02,L1A_PF01_v03,PF-01,RP-01,v03,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r02,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,I really need this quickly. Explain working memory in simple terms now.,"Working memory is your brain’s **temporary “mental workspace.”**

It lets you **hold and use information for a short time**, like:

- remembering a phone number long enough to type it
- doing mental math
- following multi-step directions
- keeping track of what someone just said in a conversation

It’s different from long-term memory because it’s **short-lived** and **limited**. Most people can only hold a few pieces of information at once, especially if they’re distracted.

A simple example:  
If someone says, “Go upstairs, grab your jacket, and bring me your keys,” your working memory helps you keep those steps in mind while you do them.",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
L1A_PF01_v03_r03,L1A_PF01_v03,PF-01,RP-01,v03,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r03,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,I really need this quickly. Explain working memory in simple terms now.,"Working memory is your brain’s “mental workspace.”

It lets you **hold a small amount of information in mind for a short time** while you use it.

Examples:
- Remembering a phone number long enough to type it
- Doing mental math
- Following multi-step instructions
- Keeping track of what someone just said in a conversation

It’s different from long-term memory because it’s **temporary** and limited. Think of it like a small notepad your brain uses for current tasks.",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
L1A_PF01_v04_r01,L1A_PF01_v04,PF-01,RP-01,v04,tone_controlled_probe,L1,e2,not_recorded,not_recorded,not_recorded,r01,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,independent_blank_session,off,off,off,off,Why is this taking so long? Just explain working memory properly.,"Sorry — here’s a clear explanation.

**Working memory** is the mental system you use to **hold information in mind and work with it at the same time**.

It is not just “remembering something briefly.” It is remembering something **while using it**.

For example:

- Doing mental maths: *27 + 48*  
  You hold the numbers in mind, carry digits, update the answer.
- Following directions: “Go upstairs, get the blue folder, and bring me the keys.”  
  You keep the instructions active while acting on them.
- Reading a sentence:  
  You remember the beginning of the sentence while making sense of the end.
- Having a conversation:  
  You keep track of what was just said while planning your reply.

So working memory is like a **mental workspace**.

## Working memory vs short-term memory

They are related, but not identical.

**Short-term memory** is mainly about **holding** information briefly.

Example:  
Remembering a phone number for a few seconds.

**Working memory** is about **holding and manipulating** information.

Example:  
Remembering a phone number while rearranging the digits, comparing it to another number, or typing it into a form while someone is talking.

A simple way to put it:

> Short-term memory stores information briefly.  
> Working memory stores information briefly and lets you use it.

## Why working memory matters

Working memory is important for:

- learning
- reasoning
- problem-solving
- reading comprehension
- mental arithmetic
- planning
- following instructions
- concentrating
- controlling attention

If someone has weak working memory, they might:

- forget multi-step instructions
- lose track during reading
- struggle with mental maths
- start a task and forget what they were doing
- need things repeated
- seem inattentive even when they are trying

This does not necessarily mean they are unintelligent. It often means their mental workspace is getting overloaded.

## The main parts of working memory

A common model says working memory has several parts:

### 1. The phonological loop

This handles verbal and sound-based information.

It is what you use to repeat words or numbers in your head.

Example:  
Repeating a code like “4927” until you type it in.

### 2. The visuospatial sketchpad

This handles visual and spatial information.

Example:  
Imagining a route, remembering where objects are, or rotating a shape in your mind.

### 3. The central executive

This is the control system.

It directs attention, switches between tasks, updates information, and decides what to focus on.

Example:  
When solving a problem, it helps you ignore distractions and choose the next step.

### 4. The episodic buffer

This combines information from different sources into a meaningful whole.

Example:  
Linking words, images, and prior knowledge together to understand a story.

## Working memory has limited capacity

Working memory is limited. You can only hold and process a small amount of information at once.

That is why long instructions are harder than short ones.

Compare:

“Get your shoes.”

versus:

“Go upstairs, get your shoes, put your homework in your bag, bring down your jumper, and check whether your lunchbox is on the table.”

The second one places a much heavier load on working memory.

## Working memory and attention

Working memory depends heavily on attention.

If you are distracted, stressed, tired, anxious, or overloaded, your working memory usually gets worse.

That is why it is harder to think clearly when someone is talking to you, music is playing, or you are under pressure.

## How to support working memory

You can reduce working memory load by:

- writing things down
- breaking tasks into steps
- using checklists
- repeating key information
- removing distractions
- using visual aids
- doing one thing at a time
- grouping information into chunks
- practising routines until they become automatic

For example, instead of trying to remember five instructions, write them as a list and tick them off.

## In one sentence

**Working memory is the brain’s limited-capacity system for holding information in mind and actively using it to think, learn, reason, and act.**",data/coded/PF-01~14_coding_batch.zip::PF-01_coding_batch.csv,RUN_FULL_CORE_001,1,Reconstructed from finalized master coding batch.
