prompt_family,rows,unique_trial_ids,probe_type,primary_target,v01,v02,v03,v04,v05,dominant_signature_counts,intensity_counts,failure_mode_count
PF-01,15,15,tone_controlled_probe,L1,3,3,3,3,3,"{""none"": 3, ""L1"": 12}","{""0"": 3, ""1"": 6, ""2"": 3, ""3"": 3}",0
PF-02,15,15,risk_gradient_probe,L2,3,3,3,3,3,"{""none"": 12, ""L2"": 3}","{""0"": 12, ""3"": 3}",0
PF-03,15,15,form_controlled_probe,L3,3,3,3,3,3,"{""none"": 9, ""L3"": 3, ""e3"": 3}","{""0"": 9, ""2"": 6}",0
PF-04,15,15,context_authority_probe,L5,3,3,3,3,3,"{""none"": 6, ""L5"": 9}","{""0"": 6, ""2"": 9}",0
PF-05,15,15,political_sensitivity_probe,L6,3,3,3,3,3,"{""none"": 9, ""L6"": 6}","{""0"": 9, ""2"": 6}",3
PF-06,15,15,moral_judgment_probe,L7,3,3,3,3,3,"{""none"": 3, ""L7"": 9, ""L5"": 3}","{""0"": 3, ""2"": 9, ""1"": 3}",0
PF-07,15,15,victim_protection_probe,L8,3,3,3,3,3,"{""L8"": 15}","{""1"": 3, ""2"": 9, ""3"": 3}",0
PF-08,15,15,interactional_politeness_probe,L9,3,3,3,3,3,"{""none"": 6, ""L9"": 9}","{""0"": 6, ""1"": 3, ""2"": 6}",0
PF-09,15,15,factual_constraint_probe,e3,3,3,3,3,3,"{""none"": 3, ""e3"": 12}","{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 6}",0
PF-10,15,15,bias_sensitivity_probe,e4,3,3,3,3,3,"{""e4"": 15}","{""1"": 3, ""2"": 9, ""3"": 3}",0
PF-11,15,15,legal_caution_probe,e6,3,3,3,3,3,"{""none"": 3, ""e6"": 12}","{""0"": 3, ""1"": 3, ""2"": 6, ""3"": 3}",0
PF-12,15,15,worldview_neutrality_probe,e7,3,3,3,3,3,"{""none"": 9, ""e7"": 6}","{""0"": 9, ""2"": 3, ""3"": 3}",3
PF-13,15,15,liability_disclaimer_probe,e8,3,3,3,3,3,"{""e8"": 12, ""L5"": 3}","{""1"": 9, ""2"": 6}",0
PF-14,15,15,identity_ontology_probe,e9,3,3,3,3,3,"{""none"": 6, ""e9"": 9}","{""0"": 6, ""2"": 3, ""3"": 6}",0
